name,id,align,eye,hair,sex,alive,x
Hijiri Sabuki (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,"c(151.75, -3.25)"
Edward Lansky (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-79.25, -2.75)"
Flamebird (New Earth),Secret Identity,NA,Yellow Eyes,NA,Female Characters,Living Characters,"c(-78.75, -2.75)"
Daniel Madrox (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,"c(-78.25, -2.75)"
Nara Gale (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Female Characters,Living Characters,"c(-76.25, -2.75)"
Duntumbla (Earth-616),No Dual Identity,NA,NA,Brown Hair,NA,Living Characters,"c(-73.75, -2.75)"
Tenebrous (Earth-616),NA,Bad Characters,NA,NA,NA,Deceased Characters,"c(-73.25, -2.75)"
Gavin Thorpe (Earth-616),NA,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-71.25, -2.75)"
Somon (Earth-616),Public Identity,NA,NA,NA,NA,Living Characters,"c(-68.25, -2.75)"
Rama Kushna (New Earth),Public Identity,NA,Black Eyes,Black Hair,Female Characters,Living Characters,"c(-66.75, -2.75)"
Tataka (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,Living Characters,"c(-65.75, -2.75)"
Adrianna Tomaz (New Earth),Public Identity,NA,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,"c(-64.75, -2.75)"
Thwarcharchura (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(-62.75, -2.75)"
Benjamin Russell (Earth-616),NA,NA,Blue Eyes,Red Hair,Male Characters,Living Characters,"c(-60.75, -2.75)"
Professor Jameson (Earth-616),Secret Identity,Bad Characters,NA,White Hair,Male Characters,Living Characters,"c(-56.75, -2.75)"
Timothy Walton (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-53.25, -2.75)"
Gerard Shugel (New Earth),Secret Identity,NA,Red Eyes,White Hair,Male Characters,Living Characters,"c(-52.75, -2.75)"
Curtis Nolan (Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-48.25, -2.75)"
Dalton Gance (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-46.75, -2.75)"
Kallark (Earth-616),Public Identity,NA,Blue Eyes,Blue Hair,Male Characters,Living Characters,"c(-46.25, -2.75)"
Deng Ling-Xiao (Earth-616),NA,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-45.75, -2.75)"
Ridondo (Earth-616),Public Identity,Good Characters,NA,Blond Hair,Male Characters,Living Characters,"c(-43.75, -2.75)"
Andrew Graves (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(11.25, -2.75)"
James Madrox (Mutate Duplicate) (Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,Deceased Characters,"c(12.75, -2.75)"
Rupert Dockery (Earth-616),Public Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(14.25, -2.75)"
Scott Jameson (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(16.25, -2.75)"
Tank (National Force) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,"c(20.75, -2.75)"
Zzlrrrzzzm (New Earth),NA,NA,NA,NA,Male Characters,Living Characters,"c(27.25, -2.75)"
Nyssa (Earth-616),Secret Identity,NA,Brown Eyes,Black Hair,Female Characters,Deceased Characters,"c(28.25, -2.75)"
Teresa Martin (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(34.75, -2.75)"
Domina (Earth-616),Secret Identity,Bad Characters,Silver Eyes,Purple Hair,Female Characters,Deceased Characters,"c(37.25, -2.75)"
Alison Kane (Earth-616),NA,Good Characters,NA,NA,Female Characters,Living Characters,"c(38.75, -2.75)"
Charis-Nar (New Earth),Secret Identity,Good Characters,Black Eyes,NA,Male Characters,Living Characters,"c(102.25, -2.75)"
Dregz (New Earth),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(104.25, -2.75)"
Henry McCoy (X-Beast) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blue Hair,Male Characters,Deceased Characters,"c(104.75, -2.75)"
Murderworld (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,Living Characters,"c(105.75, -2.75)"
Rip Roar (New Earth),Public Identity,Bad Characters,Red Eyes,Strawberry Blond Hair,Male Characters,Living Characters,"c(107.75, -2.75)"
Nomoz (New Earth),NA,NA,NA,Red Hair,Male Characters,Living Characters,"c(110.25, -2.75)"
Brahma (Earth-616),NA,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(112.75, -2.75)"
Jackson Brice (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(113.25, -2.75)"
George Pelham (Earth-616),Secret Identity,NA,Black Eyes,Grey Hair,Male Characters,Living Characters,"c(133.25, -2.75)"
Luke Hames (New Earth),NA,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(133.75, -2.75)"
Rac Shade (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,"c(138.25, -2.75)"
Zanda (Earth-616),Public Identity,NA,Brown Eyes,Black Hair,Female Characters,Deceased Characters,"c(140.25, -2.75)"
Paburo (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-80.75, -2.25)"
Gwendolyne Sabuki (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,"c(-80.25, -2.25)"
Mortimer Grimsdale (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Deceased Characters,"c(-78.75, -2.25)"
Findle the Finder (Legion Personality) (Earth-616),Secret Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(-78.25, -2.25)"
Killer Beasts (Earth-616),Secret Identity,Bad Characters,NA,NA,NA,Deceased Characters,"c(-75.25, -2.25)"
Hoo (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Living Characters,"c(-74.25, -2.25)"
Atrocitus (New Earth),Secret Identity,NA,Yellow Eyes,NA,Male Characters,Living Characters,"c(-70.25, -2.25)"
Hannibal Martin (New Earth),NA,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-66.75, -2.25)"
Nereus (Earth-616),No Dual Identity,Good Characters,Blue Eyes,NA,Male Characters,Living Characters,"c(-64.75, -2.25)"
Ringo Kid (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-59.25, -2.25)"
Luke Cage (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Deceased Characters,"c(-57.25, -2.25)"
Dara (Hypnotist) (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-55.75, -2.25)"
Pierre Dumort (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-53.75, -2.25)"
Quantum Mechanic (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-52.75, -2.25)"
Darknight (New Earth),Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-48.25, -2.25)"
Dragon Lords of Kakarantharnia (Earth-616),NA,NA,NA,NA,NA,Living Characters,"c(-47.25, -2.25)"
Epsilon Red (Earth-616),NA,NA,NA,Blond Hair,Male Characters,Living Characters,"c(-46.25, -2.25)"
Tim Boo Ba (Earth-616),NA,Bad Characters,Purple Eyes,Black Hair,Male Characters,Living Characters,"c(-45.25, -2.25)"
Sharon Hawkins (Dakotaverse),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(9.75000000000003, -2.25)"
Lucifer (Quist) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,"c(10.75, -2.25)"
Edan Younge (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,"c(12.75, -2.25)"
Alice Hu (Earth-616),No Dual Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(14.75, -2.25)"
Officer Foley (Earth-616),No Dual Identity,Good Characters,NA,NA,Male Characters,Deceased Characters,"c(15.25, -2.25)"
Barok (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(16.75, -2.25)"
Priest (New Earth),Public Identity,Good Characters,White Eyes,NA,Male Characters,Deceased Characters,"c(18.25, -2.25)"
Jeff Kaplan (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(21.25, -2.25)"
Thela (Earth-616),Public Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Living Characters,"c(22.25, -2.25)"
Xeniac (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(25.25, -2.25)"
Captain von Spitz (Earth-616),Public Identity,Bad Characters,NA,Blond Hair,Male Characters,Living Characters,"c(26.25, -2.25)"
David Munroe (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,"c(29.75, -2.25)"
Boss (District Attorney) (Earth-616),Secret Identity,Bad Characters,NA,White Hair,Male Characters,Living Characters,"c(30.25, -2.25)"
Margaret Dillon (Earth-616),Public Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(31.75, -2.25)"
Fah Lo Suee (Earth-616),Secret Identity,NA,NA,Black Hair,Female Characters,Living Characters,"c(33.75, -2.25)"
Branca (New Earth),Public Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(101.25, -2.25)"
Yoshiro Hachiman (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(103.75, -2.25)"
Shannon (Earth-616),Public Identity,NA,NA,Brown Hair,Female Characters,Living Characters,"c(111.25, -2.25)"
Kreutzmann (Earth-616),Public Identity,NA,NA,Blond Hair,Male Characters,Living Characters,"c(111.75, -2.25)"
Leron (New Earth),Public Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(113.25, -2.25)"
House Killer (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(116.25, -2.25)"
Lily Cromwell (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(121.25, -2.25)"
Paradox (AI) (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(138.75, -2.25)"
Cephalus (Earth-616),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,"c(-79.25, -1.75)"
Lemar Hoskins (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(-75.75, -1.75)"
Inez Temple (Earth-616),Public Identity,NA,Blue Eyes,Brown Hair,Female Characters,Living Characters,"c(-74.75, -1.75)"
Konvikt (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-71.25, -1.75)"
Chillblaine I (New Earth),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(-70.75, -1.75)"
Malcolm Tandy (New Earth),Public Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-67.25, -1.75)"
Actor (Spy) (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-65.75, -1.75)"
Khoon (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Living Characters,"c(-65.25, -1.75)"
Jeter Kan Toon (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(-64.25, -1.75)"
Hook (Earth-616),NA,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-63.75, -1.75)"
Slime (Hellbent) (Earth-616),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(-62.25, -1.75)"
Philip Rothstein (New Earth),NA,NA,NA,Brown Hair,Male Characters,Living Characters,"c(-61.25, -1.75)"
Prime One (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Deceased Characters,"c(-57.75, -1.75)"
Robert Baxter (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,"c(-54.25, -1.75)"
Kevin Trublood (Earth-616),Public Identity,NA,NA,NA,Male Characters,Living Characters,"c(-53.25, -1.75)"
Dei Guan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(-51.75, -1.75)"
Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,"c(-51.25, -1.75)"
Jason Rivera (Earth-616),Public Identity,NA,Black Eyes,Black Hair,Male Characters,Living Characters,"c(-48.25, -1.75)"
Julia Frostick (New Earth),Public Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(-46.75, -1.75)"
Angela (FBI) (Earth-616),No Dual Identity,NA,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(-46.25, -1.75)"
Crule (Earth-616),Secret Identity,Bad Characters,White Eyes,Orange Hair,Male Characters,Deceased Characters,"c(-45.75, -1.75)"
Dina Bell (New Earth),NA,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,"c(9.75000000000003, -1.75)"
Marla Drake (Earth-616),Secret Identity,Good Characters,NA,NA,Female Characters,Living Characters,"c(14.25, -1.75)"
Blackthorn (Earth-616),Public Identity,NA,Violet Eyes,No Hair,Male Characters,Living Characters,"c(14.75, -1.75)"
Mikado (Earth-616),Secret Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(15.75, -1.75)"
Barnaby Wade (Earth-616),Public Identity,NA,NA,Grey Hair,Male Characters,Living Characters,"c(18.25, -1.75)"
Signor Korte (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(18.75, -1.75)"
Lucas Telling-Stone (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(22.75, -1.75)"
Iko Akakowa (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(23.25, -1.75)"
"Paul Patten, Jr. (New Earth)",Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(23.75, -1.75)"
Leila O'Toole (Earth-616),Secret Identity,NA,Blue Eyes,Red Hair,Female Characters,Deceased Characters,"c(24.75, -1.75)"
John Watkins Jr. (Earth-616),Secret Identity,Good Characters,NA,Blond Hair,Male Characters,Deceased Characters,"c(29.75, -1.75)"
Lance Johnson (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,"c(31.75, -1.75)"
Grand Druid (New Earth),Public Identity,Bad Characters,NA,Orange Hair,Male Characters,Living Characters,"c(32.75, -1.75)"
Plutonium (New Earth),Secret Identity,Bad Characters,Photocellular Eyes,NA,Male Characters,Living Characters,"c(34.25, -1.75)"
Perseus Hazard (New Earth),Public Identity,NA,Brown Eyes,NA,Male Characters,Deceased Characters,"c(34.75, -1.75)"
Galina Nemirovsky (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(35.75, -1.75)"
Terry Raymond (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(37.25, -1.75)"
Jackson Norriss (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,"c(39.25, -1.75)"
Marlon Dall (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(41.25, -1.75)"
Caleb Crane (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(103.25, -1.75)"
Dana Rubikskova (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,"c(113.75, -1.75)"
Vanessa van Helsing (New Earth),Public Identity,NA,NA,Red Hair,Female Characters,Living Characters,"c(114.25, -1.75)"
Kid Clayton (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,Deceased Characters,"c(121.75, -1.75)"
Ranx (New Earth),Public Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(130.25, -1.75)"
Nightfist (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(132.75, -1.75)"
Tom Boldstep (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(136.75, -1.75)"
Ethan Allen (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(137.75, -1.75)"
Eliphas (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,"c(138.25, -1.75)"
Jaagur (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-80.25, -1.25)"
Mister Frost (New Earth),NA,Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,"c(-75.75, -1.25)"
Dakota Jamison (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(-74.25, -1.25)"
King of the Cats II (New Earth),Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-72.75, -1.25)"
Host (D.O.A.) (Earth-616),Secret Identity,Bad Characters,Red Eyes,NA,Male Characters,Living Characters,"c(-71.75, -1.25)"
Frank Cortese (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-70.75, -1.25)"
Kurt Mueller (Earth-616),Secret Identity,Bad Characters,Brown Eyes,NA,Male Characters,Deceased Characters,"c(-69.75, -1.25)"
Skull-Jacket (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-68.25, -1.25)"
Rangoo (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-65.75, -1.25)"
Amos Monroe (New Earth),NA,Good Characters,NA,White Hair,Male Characters,Living Characters,"c(-65.25, -1.25)"
Ahpuch (Earth-616),NA,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(-64.75, -1.25)"
Godfrey Calthrop (Earth-616),Secret Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(-64.25, -1.25)"
Lorna (Earth-616),Public Identity,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(-63.75, -1.25)"
Grand Thane (Asgard) (Earth-616),NA,Good Characters,NA,White Hair,Male Characters,Living Characters,"c(-62.25, -1.25)"
Iron Monk (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(-61.75, -1.25)"
Scott Fischer (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,"c(-60.25, -1.25)"
Mutant Lion (Earth-616),Secret Identity,NA,NA,NA,NA,Living Characters,"c(-59.75, -1.25)"
Dale Colton (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(-59.25, -1.25)"
Wazira (Earth-616),No Dual Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-58.75, -1.25)"
Sanji Yamamoto (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-57.25, -1.25)"
Jack Monteleone (New Earth),Public Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(-56.25, -1.25)"
Doug (A.I.M.) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,"c(-55.25, -1.25)"
Burst (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(-50.25, -1.25)"
K\u0101ne Milohai (Earth-616),NA,NA,Black Eyes,White Hair,Male Characters,Living Characters,"c(-48.25, -1.25)"
Thunderhand (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-47.75, -1.25)"
Samson Barrick (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(9.25000000000003, -1.25)"
Steven Rogers (Captain Zolandia) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(16.25, -1.25)"
Brian King (Earth-616),No Dual Identity,NA,NA,Black Hair,Male Characters,Deceased Characters,"c(17.25, -1.25)"
Gabe Acheron (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(18.25, -1.25)"
Harkonin (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(20.25, -1.25)"
Rabbit (Earth-616),Secret Identity,NA,NA,NA,Female Characters,Deceased Characters,"c(21.75, -1.25)"
Jock Forrester (Earth-616),Public Identity,NA,NA,NA,Male Characters,Deceased Characters,"c(22.25, -1.25)"
Starro the Cat (New Earth),Public Identity,NA,Green Eyes,White Hair,Male Characters,Living Characters,"c(22.75, -1.25)"
Battering Ram (Earth-616),Secret Identity,NA,NA,No Hair,Male Characters,Deceased Characters,"c(23.25, -1.25)"
Vampiro (Eternal) (Earth-616),Public Identity,Good Characters,White Eyes,Black Hair,Male Characters,Living Characters,"c(23.75, -1.25)"
Matt Slade Jr. (Earth-616),Public Identity,NA,Green Eyes,Brown Hair,Male Characters,Living Characters,"c(25.75, -1.25)"
Galaxa (New Earth),NA,Bad Characters,NA,NA,Female Characters,Living Characters,"c(29.75, -1.25)"
Desmond Pitt (Earth-616),Secret Identity,NA,Brown Eyes,Bald,Male Characters,Living Characters,"c(32.25, -1.25)"
Rimi Withnail (Earth-616),Public Identity,NA,Green Eyes,Red Hair,Female Characters,Living Characters,"c(37.75, -1.25)"
Shot (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(38.75, -1.25)"
Michael Ryer (New Earth),NA,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(39.25, -1.25)"
Ralph Caccone (Earth-616),Public Identity,Good Characters,NA,NA,Female Characters,Living Characters,"c(40.75, -1.25)"
Carlton Stricklan (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(102.75, -1.25)"
Basque (Earth-616),Secret Identity,Good Characters,NA,Red Hair,Male Characters,Living Characters,"c(103.25, -1.25)"
Nathan Lemon (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(103.75, -1.25)"
Madame Zodiac (New Earth),NA,Bad Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,"c(112.25, -1.25)"
Trista (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(112.75, -1.25)"
Doctor Morpheus (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(114.25, -1.25)"
Jeff Hagees (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,"c(115.25, -1.25)"
Sandra Verdugo (Earth-616),No Dual Identity,NA,Brown Eyes,Black Hair,Female Characters,Deceased Characters,"c(116.25, -1.25)"
Thing (Creature) (Earth-616),Secret Identity,NA,NA,No Hair,NA,Living Characters,"c(121.25, -1.25)"
Lady Aquamarine (New Earth),Public Identity,Bad Characters,Black Eyes,Grey Hair,Female Characters,Living Characters,"c(121.75, -1.25)"
Curtis Connors (Earth-616),Public Identity,NA,Red Eyes,No Hair,Male Characters,Living Characters,"c(132.75, -1.25)"
Phillip Moreau (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-91.25, -0.75)"
Astarte (New Earth),NA,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(-76.75, -0.75)"
Nicholas Fury (Heroes Reborn) (Earth-616),NA,Good Characters,One Eye,NA,Male Characters,Living Characters,"c(-76.25, -0.75)"
Baron Girbel (Earth-616),Secret Identity,Bad Characters,NA,Blond Hair,Male Characters,Living Characters,"c(-75.25, -0.75)"
Skoll (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-74.75, -0.75)"
G-Nome (New Earth),NA,Bad Characters,NA,NA,NA,Living Characters,"c(-72.25, -0.75)"
Mikaal Tomas (New Earth),Secret Identity,Good Characters,Blue Eyes,Purple Hair,Male Characters,Living Characters,"c(-71.25, -0.75)"
Manuel Torres (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(-70.75, -0.75)"
Silence (New Wave) (Earth-616),NA,Bad Characters,NA,NA,Female Characters,Living Characters,"c(-68.75, -0.75)"
Primo (Earth-616),Secret Identity,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(-68.25, -0.75)"
Thulsa Doom (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,"c(-66.25, -0.75)"
Ausiin Snow (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-65.75, -0.75)"
Sardath (New Earth),Public Identity,Good Characters,Blue Eyes,NA,Male Characters,Living Characters,"c(-65.25, -0.75)"
Adap-Tor (Earth-616),NA,NA,NA,NA,NA,Living Characters,"c(-62.75, -0.75)"
Henry Croft (Earth-616),Public Identity,Good Characters,NA,White Hair,Male Characters,Living Characters,"c(-61.25, -0.75)"
Cassandra Sharp (New Earth),NA,Bad Characters,NA,NA,Female Characters,Deceased Characters,"c(-60.75, -0.75)"
Malcolm Monroe (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,"c(-59.75, -0.75)"
Ekak (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-58.25, -0.75)"
Julia Winters (from Monsters Unleashed) (Earth-616),No Dual Identity,NA,NA,NA,Female Characters,Living Characters,"c(-57.75, -0.75)"
Iron Shanks (Earth-616),Public Identity,NA,NA,White Hair,NA,Living Characters,"c(-54.75, -0.75)"
Samantha Parrington (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(-54.25, -0.75)"
Butch (Tough Kid Squad) (Earth-616),Secret Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-51.75, -0.75)"
White Canary (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(9.25000000000003, -0.75)"
Dannel (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Deceased Characters,"c(10.25, -0.75)"
Allison Lange (Earth-616),No Dual Identity,NA,NA,Blond Hair,Female Characters,Living Characters,"c(12.75, -0.75)"
James Garfield (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(13.25, -0.75)"
L'Empereur du Monde Souterrain (Ren\u00e9) (Earth-616),Secret Identity,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(14.25, -0.75)"
Basenji (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Living Characters,"c(19.25, -0.75)"
Omerta (Earth-616),Secret Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(19.75, -0.75)"
Maria Ayala (Earth-616),No Dual Identity,Good Characters,NA,NA,Female Characters,Deceased Characters,"c(21.25, -0.75)"
Shuja (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(22.25, -0.75)"
Kali (Oblivion) (Earth-616),Secret Identity,Bad Characters,NA,NA,Female Characters,Living Characters,"c(23.25, -0.75)"
Toloc (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(23.75, -0.75)"
Seducer (New Earth),Secret Identity,Bad Characters,NA,NA,Female Characters,Living Characters,"c(24.75, -0.75)"
Korr (Ant) (Earth-616),NA,Good Characters,NA,NA,NA,Deceased Characters,"c(31.75, -0.75)"
Nora Fields (New Earth),Public Identity,NA,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(36.75, -0.75)"
